date,zone,longitude,latitude,temperature,pm10,pm2_5,smog
"January 01, 2021, 12:00 AM",135,-15.9311,18.0619,24.1,421.31,94.94,421.31
"January 01, 2021, 01:00 AM",135,-15.9311,18.0619,23.3,417.42,95.14,417.42
"January 01, 2021, 02:00 AM",135,-15.9311,18.0619,22.6,398.87,91.64,398.87
"January 01, 2021, 03:00 AM",135,-15.9311,18.0619,22.0,366.75,85.59,366.75
"January 01, 2021, 04:00 AM",135,-15.9311,18.0619,21.4,346.99,80.73,346.99
"January 01, 2021, 05:00 AM",135,-15.9311,18.0619,20.8,362.78,81.62,362.78
"January 01, 2021, 06:00 AM",135,-15.9311,18.0619,20.2,415.81,89.95,415.81
"January 01, 2021, 07:00 AM",135,-15.9311,18.0619,19.8,462.68,99.49,462.68
"January 01, 2021, 08:00 AM",135,-15.9311,18.0619,19.3,499.21,105.87,499.21
"January 01, 2021, 09:00 AM",135,-15.9311,18.0619,19.8,526.53,110.51,526.53
"January 01, 2021, 10:00 AM",135,-15.9311,18.0619,21.1,548.79,113.91,548.79
"January 01, 2021, 11:00 AM",135,-15.9311,18.0619,22.6,560.14,113.9,560.14
"January 01, 2021, 12:00 PM",135,-15.9311,18.0619,24.2,562.64,112.55,562.64
"January 01, 2021, 01:00 PM",135,-15.9311,18.0619,25.6,444.37,87.85,
"January 01, 2021, 02:00 PM",135,-15.9311,18.0619,26.8,389.82,74.56,
"January 01, 2021, 03:00 PM",135,-15.9311,18.0619,27.6,432.65,80.07,
"January 01, 2021, 04:00 PM",135,-15.9311,18.0619,28.0,485.32,87.86,
"January 01, 2021, 05:00 PM",135,-15.9311,18.0619,28.0,471.29,84.97,
"January 01, 2021, 06:00 PM",135,-15.9311,18.0619,27.4,439.95,79.71,
"January 01, 2021, 07:00 PM",135,-15.9311,18.0619,26.4,444.47,80.42,
"January 01, 2021, 08:00 PM",135,-15.9311,18.0619,25.2,491.37,89.81,
"January 01, 2021, 09:00 PM",135,-15.9311,18.0619,24.1,557.91,100.31,557.91
"January 01, 2021, 10:00 PM",135,-15.9311,18.0619,23.1,607.3,105.03,607.3
"January 01, 2021, 11:00 PM",135,-15.9311,18.0619,22.2,608.83,106.34,608.83
"January 02, 2021, 12:00 AM",135,-15.9311,18.0619,21.3,561.69,100.23,561.69
"January 02, 2021, 01:00 AM",135,-15.9311,18.0619,20.6,480.57,90.31,480.57
"January 02, 2021, 02:00 AM",135,-15.9311,18.0619,19.8,410.68,80.52,410.68
"January 02, 2021, 03:00 AM",135,-15.9311,18.0619,19.2,349.68,72.03,349.68
"January 02, 2021, 04:00 AM",135,-15.9311,18.0619,18.6,292.1,63.08,
"January 02, 2021, 05:00 AM",135,-15.9311,18.0619,18.0,248.95,55.44,
"January 02, 2021, 06:00 AM",135,-15.9311,18.0619,17.5,232.94,52.49,
"January 02, 2021, 07:00 AM",135,-15.9311,18.0619,17.1,234.41,53.8,
"January 02, 2021, 08:00 AM",135,-15.9311,18.0619,16.7,236.88,55.73,
"January 02, 2021, 09:00 AM",135,-15.9311,18.0619,17.5,235.28,57.18,
"January 02, 2021, 10:00 AM",135,-15.9311,18.0619,19.2,230.0,56.86,
"January 02, 2021, 11:00 AM",135,-15.9311,18.0619,21.2,223.24,55.23,
"January 02, 2021, 12:00 PM",135,-15.9311,18.0619,23.0,210.69,51.74,
"January 02, 2021, 01:00 PM",135,-15.9311,18.0619,24.6,171.95,43.17,
"January 02, 2021, 02:00 PM",135,-15.9311,18.0619,25.7,137.54,34.31,
"January 02, 2021, 03:00 PM",135,-15.9311,18.0619,26.5,135.81,33.41,
"January 02, 2021, 04:00 PM",135,-15.9311,18.0619,26.9,140.97,34.49,
"January 02, 2021, 05:00 PM",135,-15.9311,18.0619,26.9,139.52,34.54,
"January 02, 2021, 06:00 PM",135,-15.9311,18.0619,26.5,131.06,33.23,
"January 02, 2021, 07:00 PM",135,-15.9311,18.0619,25.7,130.78,33.49,
"January 02, 2021, 08:00 PM",135,-15.9311,18.0619,24.5,141.7,36.63,
"January 02, 2021, 09:00 PM",135,-15.9311,18.0619,23.5,163.01,41.78,
"January 02, 2021, 10:00 PM",135,-15.9311,18.0619,22.5,189.35,47.45,
"January 02, 2021, 11:00 PM",135,-15.9311,18.0619,21.7,210.14,51.55,
"January 03, 2021, 12:00 AM",135,-15.9311,18.0619,20.8,223.77,54.41,
"January 03, 2021, 01:00 AM",135,-15.9311,18.0619,20.0,238.47,58.44,
"January 03, 2021, 02:00 AM",135,-15.9311,18.0619,19.3,255.62,64.68,
"January 03, 2021, 03:00 AM",135,-15.9311,18.0619,18.7,283.28,71.92,
"January 03, 2021, 04:00 AM",135,-15.9311,18.0619,18.1,314.8,79.23,314.8
"January 03, 2021, 05:00 AM",135,-15.9311,18.0619,17.5,353.13,87.76,353.13
"January 03, 2021, 06:00 AM",135,-15.9311,18.0619,17.1,396.15,97.27,396.15
"January 03, 2021, 07:00 AM",135,-15.9311,18.0619,16.9,436.72,107.98,436.72
"January 03, 2021, 08:00 AM",135,-15.9311,18.0619,16.6,452.47,119.63,452.47
"January 03, 2021, 09:00 AM",135,-15.9311,18.0619,17.6,448.49,130.14,448.49
"January 03, 2021, 10:00 AM",135,-15.9311,18.0619,19.6,429.85,133.64,429.85
"January 03, 2021, 11:00 AM",135,-15.9311,18.0619,21.7,411.38,133.66,411.38
"January 03, 2021, 12:00 PM",135,-15.9311,18.0619,23.8,397.12,130.68,397.12
"January 03, 2021, 01:00 PM",135,-15.9311,18.0619,25.6,363.1,123.05,
"January 03, 2021, 02:00 PM",135,-15.9311,18.0619,26.8,306.78,106.28,
"January 03, 2021, 03:00 PM",135,-15.9311,18.0619,27.7,277.59,96.07,
"January 03, 2021, 04:00 PM",135,-15.9311,18.0619,28.1,262.19,92.16,
"January 03, 2021, 05:00 PM",135,-15.9311,18.0619,28.2,246.52,91.35,
"January 03, 2021, 06:00 PM",135,-15.9311,18.0619,27.9,223.28,86.59,
"January 03, 2021, 07:00 PM",135,-15.9311,18.0619,27.0,197.88,77.79,
"January 03, 2021, 08:00 PM",135,-15.9311,18.0619,25.9,170.62,64.46,
"January 03, 2021, 09:00 PM",135,-15.9311,18.0619,24.7,156.83,53.71,
"January 03, 2021, 10:00 PM",135,-15.9311,18.0619,23.7,161.19,48.29,
"January 03, 2021, 11:00 PM",135,-15.9311,18.0619,22.8,169.52,47.56,
"January 04, 2021, 12:00 AM",135,-15.9311,18.0619,22.0,177.27,47.34,
"January 04, 2021, 01:00 AM",135,-15.9311,18.0619,21.2,189.4,48.88,
"January 04, 2021, 02:00 AM",135,-15.9311,18.0619,20.5,201.23,51.6,
"January 04, 2021, 03:00 AM",135,-15.9311,18.0619,20.0,218.41,55.71,
"January 04, 2021, 04:00 AM",135,-15.9311,18.0619,19.5,233.28,59.38,
"January 04, 2021, 05:00 AM",135,-15.9311,18.0619,19.1,247.36,64.09,
"January 04, 2021, 06:00 AM",135,-15.9311,18.0619,18.7,263.62,69.05,
"January 04, 2021, 07:00 AM",135,-15.9311,18.0619,18.1,283.81,75.79,
"January 04, 2021, 08:00 AM",135,-15.9311,18.0619,17.6,306.21,84.2,306.21
"January 04, 2021, 09:00 AM",135,-15.9311,18.0619,18.4,326.52,92.14,326.52
"January 04, 2021, 10:00 AM",135,-15.9311,18.0619,20.8,352.23,100.1,352.23
"January 04, 2021, 11:00 AM",135,-15.9311,18.0619,23.3,377.57,106.08,377.57
"January 04, 2021, 12:00 PM",135,-15.9311,18.0619,25.7,387.47,108.3,
"January 04, 2021, 01:00 PM",135,-15.9311,18.0619,27.7,354.47,101.63,
"January 04, 2021, 02:00 PM",135,-15.9311,18.0619,29.3,303.01,89.82,
"January 04, 2021, 03:00 PM",135,-15.9311,18.0619,30.5,285.08,85.05,
"January 04, 2021, 04:00 PM",135,-15.9311,18.0619,31.2,274.31,83.58,
"January 04, 2021, 05:00 PM",135,-15.9311,18.0619,31.4,248.82,77.09,
"January 04, 2021, 06:00 PM",135,-15.9311,18.0619,30.9,218.29,67.49,
"January 04, 2021, 07:00 PM",135,-15.9311,18.0619,29.2,197.83,60.25,
"January 04, 2021, 08:00 PM",135,-15.9311,18.0619,27.6,206.96,61.16,
"January 04, 2021, 09:00 PM",135,-15.9311,18.0619,26.1,244.82,71.58,
"January 04, 2021, 10:00 PM",135,-15.9311,18.0619,24.9,296.48,85.06,
"January 04, 2021, 11:00 PM",135,-15.9311,18.0619,24.0,336.6,93.6,336.6
"January 05, 2021, 12:00 AM",135,-15.9311,18.0619,23.2,338.49,89.4,338.49
"January 05, 2021, 01:00 AM",135,-15.9311,18.0619,22.4,313.82,76.06,313.82
"January 05, 2021, 02:00 AM",135,-15.9311,18.0619,21.7,303.01,68.44,303.01
"January 05, 2021, 03:00 AM",135,-15.9311,18.0619,21.0,303.25,67.38,303.25
"January 05, 2021, 04:00 AM",135,-15.9311,18.0619,20.2,303.83,68.09,303.83
"January 05, 2021, 05:00 AM",135,-15.9311,18.0619,19.5,306.47,70.62,306.47
"January 05, 2021, 06:00 AM",135,-15.9311,18.0619,18.9,312.84,74.91,312.84
"January 05, 2021, 07:00 AM",135,-15.9311,18.0619,18.7,327.26,81.44,327.26
"January 05, 2021, 08:00 AM",135,-15.9311,18.0619,18.5,343.67,89.41,343.67
"January 05, 2021, 09:00 AM",135,-15.9311,18.0619,19.5,353.09,97.71,353.09
"January 05, 2021, 10:00 AM",135,-15.9311,18.0619,21.8,352.97,104.35,352.97
"January 05, 2021, 11:00 AM",135,-15.9311,18.0619,24.1,353.74,108.08,353.74
"January 05, 2021, 12:00 PM",135,-15.9311,18.0619,26.1,357.37,111.46,
"January 05, 2021, 01:00 PM",135,-15.9311,18.0619,28.0,311.59,102.14,
"January 05, 2021, 02:00 PM",135,-15.9311,18.0619,29.6,232.79,80.55,
"January 05, 2021, 03:00 PM",135,-15.9311,18.0619,30.7,206.1,69.31,
"January 05, 2021, 04:00 PM",135,-15.9311,18.0619,31.2,195.91,63.24,
"January 05, 2021, 05:00 PM",135,-15.9311,18.0619,31.4,182.61,57.67,
"January 05, 2021, 06:00 PM",135,-15.9311,18.0619,31.0,170.3,52.78,
"January 05, 2021, 07:00 PM",135,-15.9311,18.0619,29.9,165.17,50.09,
"January 05, 2021, 08:00 PM",135,-15.9311,18.0619,28.7,176.84,52.19,
"January 05, 2021, 09:00 PM",135,-15.9311,18.0619,27.6,202.78,57.94,
"January 05, 2021, 10:00 PM",135,-15.9311,18.0619,26.5,242.44,66.11,
"January 05, 2021, 11:00 PM",135,-15.9311,18.0619,25.4,288.05,74.71,
"January 06, 2021, 12:00 AM",135,-15.9311,18.0619,24.3,324.84,81.33,324.84
"January 06, 2021, 01:00 AM",135,-15.9311,18.0619,23.2,341.09,82.22,341.09
"January 06, 2021, 02:00 AM",135,-15.9311,18.0619,22.4,331.23,78.64,331.23
"January 06, 2021, 03:00 AM",135,-15.9311,18.0619,21.6,313.38,74.43,313.38
"January 06, 2021, 04:00 AM",135,-15.9311,18.0619,21.0,304.35,72.58,304.35
"January 06, 2021, 05:00 AM",135,-15.9311,18.0619,20.7,304.78,77.03,304.78
"January 06, 2021, 06:00 AM",135,-15.9311,18.0619,20.5,312.99,83.13,312.99
"January 06, 2021, 07:00 AM",135,-15.9311,18.0619,20.3,327.08,89.15,327.08
"January 06, 2021, 08:00 AM",135,-15.9311,18.0619,20.2,343.76,97.26,343.76
"January 06, 2021, 09:00 AM",135,-15.9311,18.0619,21.1,357.83,106.59,357.83
"January 06, 2021, 10:00 AM",135,-15.9311,18.0619,23.1,356.55,114.24,356.55
"January 06, 2021, 11:00 AM",135,-15.9311,18.0619,25.6,360.41,120.04,
"January 06, 2021, 12:00 PM",135,-15.9311,18.0619,28.1,363.58,124.12,
"January 06, 2021, 01:00 PM",135,-15.9311,18.0619,30.0,296.96,103.89,
"January 06, 2021, 02:00 PM",135,-15.9311,18.0619,31.3,207.83,73.45,
"January 06, 2021, 03:00 PM",135,-15.9311,18.0619,32.1,189.95,66.93,
"January 06, 2021, 04:00 PM",135,-15.9311,18.0619,32.4,202.02,69.5,
"January 06, 2021, 05:00 PM",135,-15.9311,18.0619,32.4,212.66,72.03,
"January 06, 2021, 06:00 PM",135,-15.9311,18.0619,32.0,220.5,74.68,
"January 06, 2021, 07:00 PM",135,-15.9311,18.0619,30.0,233.22,82.96,
"January 06, 2021, 08:00 PM",135,-15.9311,18.0619,28.1,252.91,98.16,
"January 06, 2021, 09:00 PM",135,-15.9311,18.0619,26.5,255.5,115.89,
"January 06, 2021, 10:00 PM",135,-15.9311,18.0619,25.1,239.29,112.77,
"January 06, 2021, 11:00 PM",135,-15.9311,18.0619,24.1,223.4,109.99,
"January 07, 2021, 12:00 AM",135,-15.9311,18.0619,23.4,229.59,107.24,
"January 07, 2021, 01:00 AM",135,-15.9311,18.0619,22.9,241.06,99.8,
