date,zone,longitude,latitude,temperature,pm10,pm2_5,smog
"January 01, 2021, 12:00 AM",109,139.7595,35.6828,4.0,30.4,17.52,
"January 01, 2021, 01:00 AM",109,139.7595,35.6828,5.7,24.8,13.66,
"January 01, 2021, 02:00 AM",109,139.7595,35.6828,6.6,25.18,14.75,
"January 01, 2021, 03:00 AM",109,139.7595,35.6828,6.9,28.12,17.47,
"January 01, 2021, 04:00 AM",109,139.7595,35.6828,7.2,11.68,7.43,
"January 01, 2021, 05:00 AM",109,139.7595,35.6828,7.3,6.7,4.22,
"January 01, 2021, 06:00 AM",109,139.7595,35.6828,7.3,4.49,2.6,
"January 01, 2021, 07:00 AM",109,139.7595,35.6828,7.4,4.7,2.41,
"January 01, 2021, 08:00 AM",109,139.7595,35.6828,6.1,6.82,3.53,
"January 01, 2021, 09:00 AM",109,139.7595,35.6828,4.9,8.78,4.6,
"January 01, 2021, 10:00 AM",109,139.7595,35.6828,3.6,11.23,6.13,
"January 01, 2021, 11:00 AM",109,139.7595,35.6828,2.6,14.8,8.53,
"January 01, 2021, 12:00 PM",109,139.7595,35.6828,1.5,19.19,11.47,
"January 01, 2021, 01:00 PM",109,139.7595,35.6828,0.4,24.1,14.63,
"January 01, 2021, 02:00 PM",109,139.7595,35.6828,-0.5,27.44,16.92,
"January 01, 2021, 03:00 PM",109,139.7595,35.6828,-1.0,27.55,17.02,
"January 01, 2021, 04:00 PM",109,139.7595,35.6828,-1.4,24.83,15.23,
"January 01, 2021, 05:00 PM",109,139.7595,35.6828,-1.6,20.55,12.33,
"January 01, 2021, 06:00 PM",109,139.7595,35.6828,-1.9,16.9,9.9,
"January 01, 2021, 07:00 PM",109,139.7595,35.6828,0.7,14.25,8.41,
"January 01, 2021, 08:00 PM",109,139.7595,35.6828,-0.6,13.3,8.04,
"January 01, 2021, 09:00 PM",109,139.7595,35.6828,-1.3,13.9,8.64,
"January 01, 2021, 10:00 PM",109,139.7595,35.6828,-1.8,16.23,10.2,
"January 01, 2021, 11:00 PM",109,139.7595,35.6828,-0.5,19.57,12.62,
"January 02, 2021, 12:00 AM",109,139.7595,35.6828,2.8,22.65,14.99,
"January 02, 2021, 01:00 AM",109,139.7595,35.6828,4.6,22.86,14.15,
"January 02, 2021, 02:00 AM",109,139.7595,35.6828,6.1,25.2,15.21,
"January 02, 2021, 03:00 AM",109,139.7595,35.6828,7.1,27.35,16.65,
"January 02, 2021, 04:00 AM",109,139.7595,35.6828,7.8,25.02,16.13,
"January 02, 2021, 05:00 AM",109,139.7595,35.6828,8.2,23.35,15.93,
"January 02, 2021, 06:00 AM",109,139.7595,35.6828,8.3,22.03,15.46,
"January 02, 2021, 07:00 AM",109,139.7595,35.6828,9.0,21.63,15.05,
"January 02, 2021, 08:00 AM",109,139.7595,35.6828,7.6,20.97,14.25,
"January 02, 2021, 09:00 AM",109,139.7595,35.6828,5.5,18.75,12.7,
"January 02, 2021, 10:00 AM",109,139.7595,35.6828,4.3,15.35,10.68,
"January 02, 2021, 11:00 AM",109,139.7595,35.6828,3.0,10.45,7.04,
"January 02, 2021, 12:00 PM",109,139.7595,35.6828,1.9,7.05,4.35,
