date,zone,longitude,latitude,temperature,pm10,pm2_5,smog
"January 01, 2021, 12:00 AM",239,168.315,-17.7415,26.7,0.76,0.58,
"January 01, 2021, 01:00 AM",239,168.315,-17.7415,27.1,0.82,0.62,
"January 01, 2021, 02:00 AM",239,168.315,-17.7415,27.4,0.88,0.64,
"January 01, 2021, 03:00 AM",239,168.315,-17.7415,27.6,0.9,0.65,
"January 01, 2021, 04:00 AM",239,168.315,-17.7415,27.7,0.94,0.68,
"January 01, 2021, 05:00 AM",239,168.315,-17.7415,27.7,0.95,0.7,
"January 01, 2021, 06:00 AM",239,168.315,-17.7415,27.8,0.9,0.67,
"January 01, 2021, 07:00 AM",239,168.315,-17.7415,27.9,0.85,0.64,
"January 01, 2021, 08:00 AM",239,168.315,-17.7415,27.8,0.84,0.63,
"January 01, 2021, 09:00 AM",239,168.315,-17.7415,27.6,0.83,0.63,
"January 01, 2021, 10:00 AM",239,168.315,-17.7415,27.5,0.89,0.65,
"January 01, 2021, 11:00 AM",239,168.315,-17.7415,27.5,0.96,0.68,
"January 01, 2021, 12:00 PM",239,168.315,-17.7415,27.4,0.94,0.63,
"January 01, 2021, 01:00 PM",239,168.315,-17.7415,27.3,0.83,0.5,
"January 01, 2021, 02:00 PM",239,168.315,-17.7415,27.2,0.88,0.5,
"January 01, 2021, 03:00 PM",239,168.315,-17.7415,27.3,0.98,0.5,
"January 01, 2021, 04:00 PM",239,168.315,-17.7415,27.3,0.97,0.5,
"January 01, 2021, 05:00 PM",239,168.315,-17.7415,27.1,1.05,0.5,
"January 01, 2021, 06:00 PM",239,168.315,-17.7415,26.9,1.17,0.5,
"January 01, 2021, 07:00 PM",239,168.315,-17.7415,27.2,1.38,0.62,
"January 01, 2021, 08:00 PM",239,168.315,-17.7415,27.4,1.69,0.81,
"January 01, 2021, 09:00 PM",239,168.315,-17.7415,27.5,1.93,0.97,
"January 01, 2021, 10:00 PM",239,168.315,-17.7415,27.7,1.96,0.98,
"January 01, 2021, 11:00 PM",239,168.315,-17.7415,27.8,1.92,0.95,
"January 02, 2021, 12:00 AM",239,168.315,-17.7415,27.9,1.9,0.94,
"January 02, 2021, 01:00 AM",239,168.315,-17.7415,27.8,1.84,0.92,
"January 02, 2021, 02:00 AM",239,168.315,-17.7415,27.5,1.87,0.96,
"January 02, 2021, 03:00 AM",239,168.315,-17.7415,27.6,1.73,0.93,
"January 02, 2021, 04:00 AM",239,168.315,-17.7415,27.5,1.6,0.89,
"January 02, 2021, 05:00 AM",239,168.315,-17.7415,27.4,1.63,0.92,
"January 02, 2021, 06:00 AM",239,168.315,-17.7415,26.9,1.76,1.01,
"January 02, 2021, 07:00 AM",239,168.315,-17.7415,26.4,2.05,1.21,
"January 02, 2021, 08:00 AM",239,168.315,-17.7415,26.5,2.37,1.45,
"January 02, 2021, 09:00 AM",239,168.315,-17.7415,26.5,2.67,1.63,
"January 02, 2021, 10:00 AM",239,168.315,-17.7415,26.4,2.77,1.67,
"January 02, 2021, 11:00 AM",239,168.315,-17.7415,26.6,2.75,1.62,
"January 02, 2021, 12:00 PM",239,168.315,-17.7415,26.9,2.69,1.55,
"January 02, 2021, 01:00 PM",239,168.315,-17.7415,26.6,2.66,1.53,
"January 02, 2021, 02:00 PM",239,168.315,-17.7415,26.0,2.6,1.51,
"January 02, 2021, 03:00 PM",239,168.315,-17.7415,25.7,2.63,1.5,
"January 02, 2021, 04:00 PM",239,168.315,-17.7415,25.6,2.71,1.46,
"January 02, 2021, 05:00 PM",239,168.315,-17.7415,25.5,2.59,1.35,
"January 02, 2021, 06:00 PM",239,168.315,-17.7415,25.5,2.42,1.24,
"January 02, 2021, 07:00 PM",239,168.315,-17.7415,25.8,2.31,1.16,
"January 02, 2021, 08:00 PM",239,168.315,-17.7415,26.4,2.22,1.09,
"January 02, 2021, 09:00 PM",239,168.315,-17.7415,26.9,2.11,1.03,
"January 02, 2021, 10:00 PM",239,168.315,-17.7415,26.3,1.87,0.96,
"January 02, 2021, 11:00 PM",239,168.315,-17.7415,26.0,1.79,0.95,
"January 03, 2021, 12:00 AM",239,168.315,-17.7415,26.5,1.78,0.98,
"January 03, 2021, 01:00 AM",239,168.315,-17.7415,27.0,1.71,0.97,
"January 03, 2021, 02:00 AM",239,168.315,-17.7415,27.0,1.74,0.99,
"January 03, 2021, 03:00 AM",239,168.315,-17.7415,26.7,1.84,1.01,
"January 03, 2021, 04:00 AM",239,168.315,-17.7415,26.5,2.01,1.05,
"January 03, 2021, 05:00 AM",239,168.315,-17.7415,26.4,2.12,1.08,
"January 03, 2021, 06:00 AM",239,168.315,-17.7415,26.8,2.11,1.08,
"January 03, 2021, 07:00 AM",239,168.315,-17.7415,27.3,2.08,1.1,
"January 03, 2021, 08:00 AM",239,168.315,-17.7415,27.4,2.08,1.12,
"January 03, 2021, 09:00 AM",239,168.315,-17.7415,27.1,2.05,1.13,
"January 03, 2021, 10:00 AM",239,168.315,-17.7415,26.4,1.99,1.09,
"January 03, 2021, 11:00 AM",239,168.315,-17.7415,26.6,1.98,1.05,
"January 03, 2021, 12:00 PM",239,168.315,-17.7415,26.5,2.04,1.03,
"January 03, 2021, 01:00 PM",239,168.315,-17.7415,25.5,2.09,0.99,
"January 03, 2021, 02:00 PM",239,168.315,-17.7415,25.4,1.87,0.91,
"January 03, 2021, 03:00 PM",239,168.315,-17.7415,25.6,1.69,0.85,
"January 03, 2021, 04:00 PM",239,168.315,-17.7415,25.8,1.74,0.88,
"January 03, 2021, 05:00 PM",239,168.315,-17.7415,26.7,1.86,0.94,
"January 03, 2021, 06:00 PM",239,168.315,-17.7415,27.0,1.88,0.96,
"January 03, 2021, 07:00 PM",239,168.315,-17.7415,27.1,1.83,0.98,
"January 03, 2021, 08:00 PM",239,168.315,-17.7415,27.0,1.86,1.06,
"January 03, 2021, 09:00 PM",239,168.315,-17.7415,26.9,1.95,1.15,
"January 03, 2021, 10:00 PM",239,168.315,-17.7415,25.8,1.95,1.22,
"January 03, 2021, 11:00 PM",239,168.315,-17.7415,25.5,2.09,1.32,
"January 04, 2021, 12:00 AM",239,168.315,-17.7415,25.6,2.11,1.35,
"January 04, 2021, 01:00 AM",239,168.315,-17.7415,26.1,2.27,1.47,
"January 04, 2021, 02:00 AM",239,168.315,-17.7415,26.5,2.47,1.6,
"January 04, 2021, 03:00 AM",239,168.315,-17.7415,26.9,2.52,1.61,
"January 04, 2021, 04:00 AM",239,168.315,-17.7415,27.1,2.56,1.46,
"January 04, 2021, 05:00 AM",239,168.315,-17.7415,26.8,2.57,1.26,
"January 04, 2021, 06:00 AM",239,168.315,-17.7415,26.7,2.55,1.13,
"January 04, 2021, 07:00 AM",239,168.315,-17.7415,26.6,2.46,1.06,
"January 04, 2021, 08:00 AM",239,168.315,-17.7415,26.3,2.14,0.95,
"January 04, 2021, 09:00 AM",239,168.315,-17.7415,26.1,1.8,0.83,
"January 04, 2021, 10:00 AM",239,168.315,-17.7415,25.8,1.45,0.73,
"January 04, 2021, 11:00 AM",239,168.315,-17.7415,25.6,1.31,0.7,
"January 04, 2021, 12:00 PM",239,168.315,-17.7415,25.6,1.37,0.72,
"January 04, 2021, 01:00 PM",239,168.315,-17.7415,25.6,1.49,0.8,
"January 04, 2021, 02:00 PM",239,168.315,-17.7415,25.8,1.55,0.85,
"January 04, 2021, 03:00 PM",239,168.315,-17.7415,25.9,1.52,0.87,
"January 04, 2021, 04:00 PM",239,168.315,-17.7415,26.0,1.48,0.87,
