date,zone,city,longitude,latitude,temperature,proj_temp,sq_err_temp,pm10,proj_pm10,sq_err_pm10,pm2_5,proj_pm25,sq_err_pm25,smog,proj_smog,sq_err_smog
"January 01, 2021, 12:00 AM",164,Islamabad,73.0652,33.6938,2.7,6.546321868896484,14.794191919151343,139.87,452.8504943847656,97956.7898653323,119.55,377.6483459472656,66614.7561807144,,452.8504943847656,
"January 01, 2021, 01:00 AM",164,Islamabad,73.0652,33.6938,2.2,7.542088031768799,28.53790453916744,144.98,427.89227294921875,80039.35418529324,123.27,363.8199462890625,57864.27665967086,,427.89227294921875,
"January 01, 2021, 02:00 AM",164,Islamabad,73.0652,33.6938,1.6,8.755188941955566,51.196728795083224,173.86,402.3622131347656,52213.26140748585,146.33,349.7060546875,41361.81962025299,,402.3622131347656,
"January 01, 2021, 03:00 AM",164,Islamabad,73.0652,33.6938,2.1,10.102694511413574,64.04311944300895,212.72,377.9544982910156,27302.439425483644,177.28,336.2343444824219,25266.483629836443,,377.9544982910156,
"January 01, 2021, 04:00 AM",164,Islamabad,73.0652,33.6938,6.8,11.492518424987793,22.01972916884992,244.02,356.2869873046875,12603.876438470861,202.07,324.2889404296875,14937.469399755504,,356.2869873046875,
"January 01, 2021, 05:00 AM",164,Islamabad,73.0652,33.6938,13.2,12.829678535461426,0.13713798709799396,246.74,338.79052734375,8473.299584262464,203.86,314.65020751953125,12274.470082220796,,338.79052734375,
"January 01, 2021, 06:00 AM",164,Islamabad,73.0652,33.6938,15.9,14.022787094116211,3.523928294016661,217.03,326.6116027832031,12008.12766853571,180.21,307.94140625,16315.312142602537,,326.6116027832031,
"January 01, 2021, 07:00 AM",164,Islamabad,73.0652,33.6938,16.7,14.990267753601074,2.9231843543763145,112.66,320.5342712402344,43211.71264365853,95.39,304.5862121582031,43763.055181339936,,320.5342712402344,
"January 01, 2021, 08:00 AM",164,Islamabad,73.0652,33.6938,17.3,15.665919303894043,2.6702197213861316,111.54,320.9269104003906,43842.8782470212,96.14,304.7798156738281,43530.57268440898,,320.9269104003906,
"January 01, 2021, 09:00 AM",164,Islamabad,73.0652,33.6938,17.4,16.003429412841797,1.9504094049154042,139.15,327.716796875,35557.436883697505,121.88,308.4757385253906,34817.96963583595,,327.716796875,
"January 01, 2021, 10:00 AM",164,Islamabad,73.0652,33.6938,17.1,15.979521751403809,1.2554715055771917,208.36,340.39569091796875,17433.42367618537,182.01,315.388671875,17789.87011113892,,340.39569091796875,
"January 01, 2021, 11:00 AM",164,Islamabad,73.0652,33.6938,16.1,15.595559120178223,0.25446060123537023,294.24,358.0538330078125,4072.205283148979,255.55,325.01422119140625,4825.278025728611,,358.0538330078125,
"January 01, 2021, 12:00 PM",164,Islamabad,73.0652,33.6938,14.3,14.877433776855469,0.33342976665357044,360.51,379.4425354003906,358.4408966870445,311.11,336.662841796875,652.9477238961213,360.51,379.4425354003906,358.4408966870445
"January 01, 2021, 01:00 PM",164,Islamabad,73.0652,33.6938,12.8,13.873820304870605,1.1530900471523986,446.97,403.05926513671875,1928.152636233386,383.6,349.50732421875,1162.3105419254318,446.97,403.05926513671875,1928.152636233386
"January 01, 2021, 02:00 PM",164,Islamabad,73.0652,33.6938,9.6,12.65284252166748,9.319847462101063,565.6,427.2496337890625,19140.823830700523,487.34,362.6385498046875,15550.451680813998,565.6,427.2496337890625,19140.823830700523
"January 01, 2021, 03:00 PM",164,Islamabad,73.0652,33.6938,7.5,11.29744815826416,14.420612514703862,674.3,450.3207092285156,50166.722694497126,586.73,375.1279602050781,44775.423245371705,674.3,450.3207092285156,50166.722694497126
"January 01, 2021, 04:00 PM",164,Islamabad,73.0652,33.6938,6.2,9.899738311767578,13.688063575560808,721.01,470.6560974121094,62677.07654098702,629.72,386.0906066894531,59355.28128486516,721.01,470.6560974121094,62677.07654098702
"January 01, 2021, 05:00 PM",164,Islamabad,73.0652,33.6938,5.1,8.554707527160645,11.935004098220418,788.95,486.825927734375,91278.95504236463,686.48,394.745361328125,85109.09940100947,788.95,486.825927734375,91278.95504236463
"January 01, 2021, 06:00 PM",164,Islamabad,73.0652,33.6938,4.4,7.353764533996582,8.724724922296044,797.61,497.6846008300781,89955.24506723699,692.35,400.46844482421875,85194.84225183264,797.61,497.6846008300781,89955.24506723699
"January 01, 2021, 07:00 PM",164,Islamabad,73.0652,33.6938,3.8,6.378497123718262,6.64864741702335,742.22,502.4488525390625,57490.20315473465,643.48,402.83575439453125,57909.652943025176,742.22,502.4488525390625,57490.20315473465
"January 01, 2021, 08:00 PM",164,Islamabad,73.0652,33.6938,3.6,5.6951189041137695,4.389523222374883,664.12,500.75042724609375,26689.617301793867,571.9,401.6517639160156,28984.461889708073,664.12,500.75042724609375,26689.617301793867
"January 01, 2021, 09:00 PM",164,Islamabad,73.0652,33.6938,3.5,5.349948883056641,3.422310869922512,585.9,492.6620788574219,8693.309938989612,495.54,396.9632568359375,9717.374292833547,585.9,492.6620788574219,8693.309938989612
"January 01, 2021, 10:00 PM",164,Islamabad,73.0652,33.6938,3.4,5.36626672744751,3.86620484346714,525.37,478.6918029785156,2178.8540771765133,437.81,389.0556640625,2376.985272706604,525.37,478.6918029785156,2178.8540771765133
"January 01, 2021, 11:00 PM",164,Islamabad,73.0652,33.6938,3.3,5.742713451385498,5.966849005579653,476.31,459.74835205078125,274.2881827938617,393.41,378.4339599609375,224.28177525160388,476.31,459.74835205078125,274.2881827938617
